วัน,เดือน,ปี,เลขท้าย2ตัว
1,9,2549,44
16,8,2549,97
1,8,2549,88
16,7,2549,48
1,7,2549,65
16,6,2549,17
1,6,2549,99
16,5,2549,71
2,5,2549,27
16,4,2549,49
1,4,2549,95
16,3,2549,30
1,3,2549,43
16,2,2549,66
1,2,2549,87
16,1,2549,79
30,12,2548,94
16,12,2548,86
1,12,2548,17
16,11,2548,80
1,11,2548,98
16,10,2548,71
1,10,2548,24
16,9,2548,10
1,9,2548,17
16,8,2548,68
1,8,2548,26
16,7,2548,13
1,7,2548,87
16,6,2548,44
1,6,2548,35
16,5,2548,97
2,5,2548,43
16,4,2548,10
1,4,2548,69
16,3,2548,03
1,3,2548,93
16,2,2548,53
1,2,2548,34
16,1,2548,08
30,12,2547,28
16,12,2547,17
1,12,2547,69
16,11,2547,64
1,11,2547,23
16,10,2547,62
1,10,2547,66
16,9,2547,59
1,9,2547,70
16,8,2547,59
2,8,2547,45
16,7,2547,25
1,7,2547,66
16,6,2547,87
1,6,2547,72
16,5,2547,13
2,5,2547,91
16,4,2547,12
1,4,2547,62
16,3,2547,69
1,3,2547,50
16,2,2547,00
1,2,2547,77
16,1,2547,96
30,12,2546,64
16,12,2546,87
1,12,2546,78
16,11,2546,98
1,11,2546,47
16,10,2546,03
1,10,2546,43
16,9,2546,53
1,9,2546,92
16,8,2546,00
1,8,2546,91
16,7,2546,75
1,7,2546,91
16,6,2546,29
1,6,2546,36
16,5,2546,20
2,5,2546,12
16,4,2546,21
1,4,2546,86
16,3,2546,64
1,3,2546,42
17,2,2546,67
1,2,2546,94
16,1,2546,06
30,12,2545,95
16,12,2545,67
1,12,2545,37
16,11,2545,55
1,11,2545,25
16,10,2545,51
1,10,2545,72
16,9,2545,85
1,9,2545,51
16,8,2545,57
1,8,2545,88
16,7,2545,69
1,7,2545,24
16,6,2545,07
1,6,2545,02
16,5,2545,76
2,5,2545,56
16,4,2545,37
1,4,2545,57
16,3,2545,04
1,3,2545,55
16,2,2545,92
1,2,2545,40
16,1,2545,14
30,12,2544,64
16,12,2544,19
1,12,2544,49
16,11,2544,74
1,11,2544,52
16,10,2544,48
1,10,2544,15
16,9,2544,82
1,9,2544,14
16,8,2544,10
1,8,2544,11
16,7,2544,50
1,7,2544,34
16,6,2544,75
1,6,2544,80
16,5,2544,61
2,5,2544,64
16,4,2544,28
1,4,2544,49
16,3,2544,45
1,3,2544,85
16,2,2544,47
1,2,2544,13
16,1,2544,36
30,12,2543,31
16,12,2543,91
1,12,2543,56
16,11,2543,10
1,11,2543,90
16,10,2543,39
1,10,2543,26
16,9,2543,05
1,9,2543,52
16,8,2543,57
1,8,2543,18
16,7,2543,43
1,7,2543,29
16,6,2543,57
1,6,2543,16
16,5,2543,56
2,5,2543,20
16,4,2543,63
1,4,2543,99
16,3,2543,65
1,3,2543,63
16,2,2543,91
1,2,2543,85
16,1,2543,82
30,12,2542,03
16,12,2542,30
1,12,2542,79
16,11,2542,14
1,11,2542,03
16,10,2542,28
1,10,2542,80
16,9,2542,46
1,9,2542,33
16,8,2542,65
1,8,2542,98
16,7,2542,03
1,7,2542,67
16,6,2542,63
1,6,2542,08
16,5,2542,16
2,5,2542,45
16,4,2542,35
1,4,2542,92
16,3,2542,63
1,3,2542,58
16,2,2542,41
1,2,2542,69
16,1,2542,13
30,12,2541,50
16,12,2541,55
1,12,2541,58
16,11,2541,20
1,11,2541,29
16,10,2541,74
1,10,2541,18
16,9,2541,65
1,9,2541,96
16,8,2541,91
1,8,2541,22
16,7,2541,52
1,7,2541,65
16,6,2541,19
2,6,2541,67
16,5,2541,63
1,5,2541,72
16,4,2541,17
1,4,2541,66
16,3,2541,79
1,3,2541,74
16,2,2541,69
1,2,2541,48
16,1,2541,34
30,12,2540,65
16,12,2540,71
1,12,2540,86
16,11,2540,99
1,11,2540,39
16,10,2540,98
1,10,2540,24
16,9,2540,98
1,9,2540,59
16,8,2540,30
1,8,2540,31
16,7,2540,67
1,7,2540,11
16,6,2540,61
1,6,2540,24
16,5,2540,52
2,5,2540,38
16,4,2540,92
1,4,2540,52
16,3,2540,36
1,3,2540,98
16,2,2540,94
1,2,2540,57
16,1,2540,47
30,12,2539,26
16,12,2539,44
1,12,2539,66
16,11,2539,21
1,11,2539,24
16,10,2539,18
1,10,2539,97
16,9,2539,59
1,9,2539,02
16,8,2539,19
1,8,2539,61
16,7,2539,91
1,7,2539,76
16,6,2539,21
1,6,2539,81
17,5,2539,75
2,5,2539,54
16,4,2539,77
1,4,2539,90
16,3,2539,27
1,3,2539,72
16,2,2539,49
1,2,2539,26
16,1,2539,21
30,12,2538,04
16,12,2538,68
1,12,2538,74
16,11,2538,85
1,11,2538,07
16,10,2538,86
1,10,2538,76
